extension_id,name,type,element,folder,client_id,enabled,protected,version
251,pkg_akeebabackup,package,pkg_akeebabackup,,0,1,0,9.8.1
253,tx_valley,template,tx_valley,,0,1,0,2.0
254,com_iquix,component,com_iquix,,1,1,0,1.7.0
257,plg_multifactorauth_totp,plugin,totp,multifactorauth,0,0,0,3.2.0
258,plg_multifactorauth_yubikey,plugin,yubikey,multifactorauth,0,0,0,3.2.0
259,plg_multifactorauth_webauthn,plugin,webauthn,multifactorauth,0,0,0,4.2.0
260,plg_multifactorauth_email,plugin,email,multifactorauth,0,0,0,4.2.0
261,plg_multifactorauth_fixed,plugin,fixed,multifactorauth,0,0,0,4.2.0
262,plg_system_shortcut,plugin,shortcut,system,0,1,0,4.2.0
269,Russian (ru-RU),language,ru-RU,,1,1,0,4.4.5
270,Russian (ru-RU),language,ru-RU,,3,1,0,4.4.5
271,Russian (ru-RU),language,ru-RU,,0,1,0,4.4.5
272,Russian (ru-RU) Language Pack,package,pkg_ru-RU,,0,1,0,4.4.5.1
273,com_jchoptimize,component,com_jchoptimize,,1,1,0,8.1.1
274,plg_system_jchoptimize,plugin,jchoptimize,system,0,1,0,8.1.1
275,plg_system_jchoptimizepagecache,plugin,jchoptimizepagecache,system,0,0,0,8.1.1
276,plg_user_jchoptimizeuserstate,plugin,jchoptimizeuserstate,user,0,1,0,8.1.1
277,plg_console_jchoptimize,plugin,jchoptimize,console,0,1,0,8.1.1
278,mod_jchmodeswitcher,module,mod_jchmodeswitcher,,1,1,0,8.1.1
280,pkg_jchoptimize,package,pkg_jchoptimize,,0,1,0,8.1.1
281,COM_LSCACHE,component,com_lscache,,1,1,0,1.5.1
282,LiteSpeed Cache Plugin,plugin,lscache,system,0,1,0,1.5.1
283,mod_lscache_purge,module,mod_lscache_purge,,1,1,0,1.0.0
284,LiteSpeed LSCache Package,package,pkg_lscache,,0,1,0,1.5.1
285,esitemplate,template,esitemplate,,0,1,0,1.0
286,ImageRecycle,component,com_imagerecycle,,1,1,0,2.1.2
287,Content - imagerecycle,plugin,imagerecycle,content,0,1,0,2.0.16
288,ImageRecycle Statistics,module,mod_imagerecycle_stats,,1,1,0,2.0.16
290,com_guidedtours,component,com_guidedtours,,1,1,0,4.3.0
291,mod_guidedtours,module,mod_guidedtours,,1,1,0,4.3.0
292,plg_system_guidedtours,plugin,guidedtours,system,0,1,0,4.3.0
293,plg_quickicon_eos,plugin,eos,quickicon,0,1,0,4.4.0
294,plg_behaviour_compat,plugin,compat,behaviour,0,1,0,4.4.0
295,Quix Next Library,library,quixnxt,,0,1,0,4.4.3
296,lib_jmedia,library,jmedia,,0,1,0,1.0.0
